Geography,fips_code,tract,TotalPop,Drove,Percent_Drove,Transit,Percent_Transit,Bike,Percent_Bike,Walk,Percent_Walk,WFH,Percent_WFH
"Census Tract 1175.20, Los Angeles County, California",6037117520,117520,1666,1195,71.73,329.00,19.75,15.00,0.90,93.00,5.58,12.00,0.72
"Census Tract 1175.30, Los Angeles County, California",6037117530,117530,2826,2213,78.31,338.00,11.96,18.00,0.64,137.00,4.85,62.00,2.19
"Census Tract 1190.01, Los Angeles County, California",6037119001,119001,1852,1654,89.31,142.00,7.67,10.00,0.54,0.00,0.00,46.00,2.48
"Census Tract 1190.02, Los Angeles County, California",6037119002,119002,3317,3004,90.56,54.00,1.63,48.00,1.45,10.00,0.30,156.00,4.70
"Census Tract 1192.01, Los Angeles County, California",6037119201,119201,1913,1797,93.94,72.00,3.76,29.00,1.52,0.00,0.00,15.00,0.78
"Census Tract 1192.02, Los Angeles County, California",6037119202,119202,1880,1781,94.73,60.00,3.19,0.00,0.00,13.00,0.69,26.00,1.38
"Census Tract 1193.10, Los Angeles County, California",6037119310,119310,1836,1586,86.38,166.00,9.04,17.00,0.93,43.00,2.34,24.00,1.31
"Census Tract 1193.20, Los Angeles County, California",6037119320,119320,2071,1640,79.19,264.00,12.75,27.00,1.30,88.00,4.25,31.00,1.50
"Census Tract 1193.40, Los Angeles County, California",6037119340,119340,1624,1055,64.96,322.00,19.83,9.00,0.55,89.00,5.48,39.00,2.40
"Census Tract 1193.41, Los Angeles County, California",6037119341,119341,1302,1064,81.72,110.00,8.45,0.00,0.00,8.00,0.61,28.00,2.15
"Census Tract 1193.42, Los Angeles County, California",6037119342,119342,1520,1220,80.26,220.00,14.47,8.00,0.53,7.00,0.46,15.00,0.99
"Census Tract 1194, Los Angeles County, California",6037119400,119400,2438,2201,90.28,204.00,8.37,33.00,1.35,0.00,0.00,0.00,0.00
"Census Tract 1197, Los Angeles County, California",6037119700,119700,2427,2160,89.00,121.00,4.99,5.00,0.21,36.00,1.48,105.00,4.33
"Census Tract 1198, Los Angeles County, California",6037119800,119800,3268,3008,92.04,127.00,3.89,47.00,1.44,27.00,0.83,27.00,0.83
"Census Tract 1199, Los Angeles County, California",6037119900,119900,2395,2070,86.43,108.00,4.51,15.00,0.63,107.00,4.47,95.00,3.97
"Census Tract 1200.10, Los Angeles County, California",6037120010,120010,1313,1136,86.52,99.00,7.54,0.00,0.00,33.00,2.51,28.00,2.13
"Census Tract 1200.20, Los Angeles County, California",6037120020,120020,1930,1459,75.60,196.00,10.16,20.00,1.04,119.00,6.17,50.00,2.59
"Census Tract 1200.30, Los Angeles County, California",6037120030,120030,962,665,69.13,171.00,17.78,26.00,2.70,45.00,4.68,28.00,2.91
"Census Tract 1201.03, Los Angeles County, California",6037120103,120103,1222,701,57.36,316.00,25.86,0.00,0.00,74.00,6.06,22.00,1.80
"Census Tract 1201.04, Los Angeles County, California",6037120104,120104,1197,741,61.90,264.00,22.06,0.00,0.00,123.00,10.28,17.00,1.42
"Census Tract 1201.05, Los Angeles County, California",6037120105,120105,1057,923,87.32,31.00,2.93,17.00,1.61,28.00,2.65,26.00,2.46
"Census Tract 1201.06, Los Angeles County, California",6037120106,120106,1989,1316,66.16,508.00,25.54,0.00,0.00,86.00,4.32,34.00,1.71
"Census Tract 1201.07, Los Angeles County, California",6037120107,120107,1578,1088,68.95,233.00,14.77,22.00,1.39,133.00,8.43,11.00,0.70
"Census Tract 1201.08, Los Angeles County, California",6037120108,120108,2080,1593,76.59,278.00,13.37,31.00,1.49,36.00,1.73,48.00,2.31
"Census Tract 1203, Los Angeles County, California",6037120300,120300,2692,2467,91.64,90.00,3.34,0.00,0.00,44.00,1.63,46.00,1.71
"Census Tract 1204, Los Angeles County, California",6037120400,120400,3152,2831,89.82,90.00,2.86,14.00,0.44,21.00,0.67,89.00,2.82
