Geography,fips_code,tract,TotalPop,Drove,Percent_Drove,Transit,Percent_Transit,Bike,Percent_Bike,Walk,Percent_Walk,WFH,Percent_WFH
"Census Tract 2132.02, Los Angeles County, California",6037213202,213202,1988,1277,64.24,431.00,21.68,8.00,0.40,100.00,5.03,117.00,5.89
"Census Tract 2133.10, Los Angeles County, California",6037213310,213310,1817,1108,60.98,517.00,28.45,21.00,1.16,63.00,3.47,91.00,5.01
"Census Tract 2133.20, Los Angeles County, California",6037213320,213320,1107,752,67.93,241.00,21.77,0.00,0.00,28.00,2.53,55.00,4.97
"Census Tract 2134.01, Los Angeles County, California",6037213401,213401,2931,1779,60.70,1022.00,34.87,48.00,1.64,45.00,1.54,37.00,1.26
"Census Tract 2134.02, Los Angeles County, California",6037213402,213402,2170,1269,58.48,607.00,27.97,43.00,1.98,159.00,7.33,86.00,3.96
"Census Tract 2140, Los Angeles County, California",6037214000,214000,1569,1159,73.87,2.00,0.13,41.00,2.61,127.00,8.09,203.00,12.94
"Census Tract 2141, Los Angeles County, California",6037214100,214100,2253,1656,73.50,0.00,0.00,45.00,2.00,17.00,0.75,513.00,22.77
"Census Tract 2144, Los Angeles County, California",6037214400,214400,2022,1460,72.21,35.00,1.73,50.00,2.47,49.00,2.42,315.00,15.58
"Census Tract 2145.01, Los Angeles County, California",6037214501,214501,1669,1328,79.57,64.00,3.83,17.00,1.02,69.00,4.13,181.00,10.84
"Census Tract 2145.02, Los Angeles County, California",6037214502,214502,2900,2162,74.55,51.00,1.76,114.00,3.93,18.00,0.62,396.00,13.66
"Census Tract 2145.03, Los Angeles County, California",6037214503,214503,1818,1436,78.99,45.00,2.48,23.00,1.27,89.00,4.90,181.00,9.96
"Census Tract 2146, Los Angeles County, California",6037214600,214600,1737,1275,73.40,85.00,4.89,36.00,2.07,42.00,2.42,289.00,16.64
"Census Tract 2147, Los Angeles County, California",6037214700,214700,1537,1201,78.14,54.00,3.51,23.00,1.50,130.00,8.46,129.00,8.39
"Census Tract 2148, Los Angeles County, California",6037214800,214800,2025,1532,75.65,22.00,1.09,14.00,0.69,111.00,5.48,253.00,12.49
"Census Tract 2149.01, Los Angeles County, California",6037214901,214901,1971,1607,81.53,0.00,0.00,36.00,1.83,66.00,3.35,216.00,10.96
"Census Tract 2149.02, Los Angeles County, California",6037214902,214902,1977,1308,66.16,69.00,3.49,27.00,1.37,414.00,20.94,148.00,7.49
"Census Tract 2151.01, Los Angeles County, California",6037215101,215101,1823,1291,70.82,199.00,10.92,12.00,0.66,145.00,7.95,168.00,9.22
"Census Tract 2151.02, Los Angeles County, California",6037215102,215102,2460,1619,65.81,203.00,8.25,95.00,3.86,127.00,5.16,341.00,13.86
"Census Tract 2161, Los Angeles County, California",6037216100,216100,1439,1128,78.39,18.00,1.25,10.00,0.69,62.00,4.31,214.00,14.87
"Census Tract 2162, Los Angeles County, California",6037216200,216200,3742,3035,81.11,91.00,2.43,79.00,2.11,59.00,1.58,413.00,11.04
"Census Tract 2163, Los Angeles County, California",6037216300,216300,2805,2190,78.07,183.00,6.52,15.00,0.53,82.00,2.92,224.00,7.99
"Census Tract 2164.01, Los Angeles County, California",6037216401,216401,2753,2004,72.79,103.00,3.74,15.00,0.54,177.00,6.43,275.00,9.99
"Census Tract 2164.02, Los Angeles County, California",6037216402,216402,1820,1607,88.30,24.00,1.32,0.00,0.00,97.00,5.33,92.00,5.05
"Census Tract 2167, Los Angeles County, California",6037216700,216700,2002,1651,82.47,188.00,9.39,14.00,0.70,21.00,1.05,107.00,5.34
"Census Tract 2168, Los Angeles County, California",6037216800,216800,1891,1455,76.94,90.00,4.76,32.00,1.69,30.00,1.59,243.00,12.85
"Census Tract 2169, Los Angeles County, California",6037216900,216900,2580,2212,85.74,170.00,6.59,32.00,1.24,42.00,1.63,124.00,4.81
"Census Tract 2170.01, Los Angeles County, California",6037217001,217001,1286,966,75.12,44.00,3.42,0.00,0.00,58.00,4.51,214.00,16.64
"Census Tract 2170.02, Los Angeles County, California",6037217002,217002,3125,2649,84.77,208.00,6.66,0.00,0.00,58.00,1.86,185.00,5.92
"Census Tract 2171, Los Angeles County, California",6037217100,217100,3226,2596,80.47,294.00,9.11,36.00,1.12,95.00,2.94,205.00,6.35
"Census Tract 2172, Los Angeles County, California",6037217200,217200,2339,1753,74.95,351.00,15.01,7.00,0.30,39.00,1.67,162.00,6.93
"Census Tract 2181.10, Los Angeles County, California",6037218110,218110,1708,1271,74.41,276.00,16.16,0.00,0.00,46.00,2.69,89.00,5.21
"Census Tract 2181.20, Los Angeles County, California",6037218120,218120,2334,1665,71.34,465.00,19.92,54.00,2.31,26.00,1.11,75.00,3.21
"Census Tract 2182.10, Los Angeles County, California",6037218210,218210,1994,1414,70.91,441.00,22.12,0.00,0.00,95.00,4.76,44.00,2.21
"Census Tract 2182.20, Los Angeles County, California",6037218220,218220,2245,1587,70.69,474.00,21.11,0.00,0.00,49.00,2.18,76.00,3.39
"Census Tract 2183, Los Angeles County, California",6037218300,218300,2602,2162,83.09,321.00,12.34,14.00,0.54,24.00,0.92,81.00,3.11
"Census Tract 2184, Los Angeles County, California",6037218400,218400,1907,1674,87.78,103.00,5.40,34.00,1.78,0.00,0.00,53.00,2.78
"Census Tract 2185, Los Angeles County, California",6037218500,218500,1236,928,75.08,222.00,17.96,0.00,0.00,18.00,1.46,62.00,5.02
"Census Tract 2186, Los Angeles County, California",6037218600,218600,1598,1324,82.85,167.00,10.45,19.00,1.19,28.00,1.75,60.00,3.75
"Census Tract 2187.01, Los Angeles County, California",6037218701,218701,1182,960,81.22,135.00,11.42,4.00,0.34,14.00,1.18,64.00,5.41
"Census Tract 2187.02, Los Angeles County, California",6037218702,218702,839,688,82.00,83.00,9.89,17.00,2.03,5.00,0.60,42.00,5.01
"Census Tract 2188, Los Angeles County, California",6037218800,218800,1486,1175,79.07,183.00,12.31,6.00,0.40,32.00,2.15,55.00,3.70
"Census Tract 2189, Los Angeles County, California",6037218900,218900,2377,1677,70.55,412.00,17.33,19.00,0.80,67.00,2.82,159.00,6.69
"Census Tract 2190.10, Los Angeles County, California",6037219010,219010,1348,1144,84.87,118.00,8.75,3.00,0.22,30.00,2.23,53.00,3.93
"Census Tract 2190.20, Los Angeles County, California",6037219020,219020,1926,1643,85.31,98.00,5.09,40.00,2.08,44.00,2.28,61.00,3.17
"Census Tract 2193, Los Angeles County, California",6037219300,219300,1994,1443,72.37,316.00,15.85,17.00,0.85,73.00,3.66,116.00,5.82
"Census Tract 2195, Los Angeles County, California",6037219500,219500,858,777,90.56,37.00,4.31,19.00,2.21,13.00,1.52,12.00,1.40
"Census Tract 2197, Los Angeles County, California",6037219700,219700,1927,1683,87.34,180.00,9.34,24.00,1.25,4.00,0.21,36.00,1.87
"Census Tract 2198, Los Angeles County, California",6037219800,219800,1378,1084,78.66,199.00,14.44,23.00,1.67,44.00,3.19,17.00,1.23
"Census Tract 2199.01, Los Angeles County, California",6037219901,219901,2201,1746,79.33,364.00,16.54,0.00,0.00,47.00,2.14,17.00,0.77
"Census Tract 2199.02, Los Angeles County, California",6037219902,219902,1934,1714,88.62,150.00,7.76,9.00,0.47,31.00,1.60,30.00,1.55
"Census Tract 2200, Los Angeles County, California",6037220000,220000,2796,2152,76.97,305.00,10.91,33.00,1.18,34.00,1.22,233.00,8.33
"Census Tract 2201, Los Angeles County, California",6037220100,220100,992,857,86.39,72.00,7.26,0.00,0.00,37.00,3.73,0.00,0.00
"Census Tract 2211.10, Los Angeles County, California",6037221110,221110,1715,795,46.36,721.00,42.04,10.00,0.58,124.00,7.23,50.00,2.92
"Census Tract 2211.20, Los Angeles County, California",6037221120,221120,1539,974,63.29,438.00,28.46,6.00,0.39,30.00,1.95,66.00,4.29
"Census Tract 2212.10, Los Angeles County, California",6037221210,221210,1479,973,65.79,414.00,27.99,0.00,0.00,31.00,2.10,50.00,3.38
"Census Tract 2212.20, Los Angeles County, California",6037221220,221220,1896,945,49.84,800.00,42.19,40.00,2.11,66.00,3.48,21.00,1.11
"Census Tract 2213.02, Los Angeles County, California",6037221302,221302,2620,1723,65.76,683.00,26.07,17.00,0.65,34.00,1.30,118.00,4.50
"Census Tract 2213.03, Los Angeles County, California",6037221303,221303,1168,646,55.31,451.00,38.61,0.00,0.00,15.00,1.28,32.00,2.74
"Census Tract 2213.04, Los Angeles County, California",6037221304,221304,1780,1338,75.17,364.00,20.45,28.00,1.57,12.00,0.67,4.00,0.22
"Census Tract 2214.01, Los Angeles County, California",6037221401,221401,1159,720,62.12,285.00,24.59,0.00,0.00,20.00,1.73,123.00,10.61
"Census Tract 2214.02, Los Angeles County, California",6037221402,221402,1178,803,68.17,311.00,26.40,0.00,0.00,26.00,2.21,38.00,3.23
"Census Tract 2215, Los Angeles County, California",6037221500,221500,1576,1098,69.67,349.00,22.14,23.00,1.46,43.00,2.73,43.00,2.73
"Census Tract 2216.01, Los Angeles County, California",6037221601,221601,1450,974,67.17,320.00,22.07,7.00,0.48,61.00,4.21,88.00,6.07
"Census Tract 2216.02, Los Angeles County, California",6037221602,221602,1102,736,66.79,266.00,24.14,6.00,0.54,56.00,5.08,22.00,2.00
"Census Tract 2217.10, Los Angeles County, California",6037221710,221710,1262,833,66.01,196.00,15.53,91.00,7.21,113.00,8.95,29.00,2.30
"Census Tract 2218.10, Los Angeles County, California",6037221810,221810,952,491,51.58,156.00,16.39,111.00,11.66,140.00,14.71,54.00,5.67
"Census Tract 2218.20, Los Angeles County, California",6037221820,221820,1167,424,36.33,174.00,14.91,200.00,17.14,305.00,26.14,47.00,4.03
"Census Tract 2219, Los Angeles County, California",6037221900,221900,1036,444,42.86,121.00,11.68,89.00,8.59,303.00,29.25,72.00,6.95
"Census Tract 2220.01, Los Angeles County, California",6037222001,222001,1423,1209,84.96,131.00,9.21,18.00,1.26,19.00,1.34,42.00,2.95
"Census Tract 2220.02, Los Angeles County, California",6037222002,222002,2229,1634,73.31,371.00,16.64,153.00,6.86,0.00,0.00,40.00,1.79
"Census Tract 2221, Los Angeles County, California",6037222100,222100,1580,1105,69.94,273.00,17.28,76.00,4.81,17.00,1.08,97.00,6.14
"Census Tract 2222, Los Angeles County, California",6037222200,222200,1483,1124,75.79,190.00,12.81,22.00,1.48,51.00,3.44,64.00,4.32
"Census Tract 2225, Los Angeles County, California",6037222500,222500,2052,1396,68.03,419.00,20.42,88.00,4.29,40.00,1.95,26.00,1.27
"Census Tract 2226, Los Angeles County, California",6037222600,222600,2272,1308,57.57,486.00,21.39,243.00,10.70,163.00,7.17,25.00,1.10
"Census Tract 2227, Los Angeles County, California",6037222700,222700,785,132,16.82,81.00,10.32,67.00,8.54,462.00,58.85,34.00,4.33
"Census Tract 2240.10, Los Angeles County, California",6037224010,224010,1046,397,37.95,424.00,40.54,60.00,5.74,117.00,11.19,48.00,4.59
"Census Tract 2240.20, Los Angeles County, California",6037224020,224020,1240,601,48.47,468.00,37.74,0.00,0.00,107.00,8.63,51.00,4.11
"Census Tract 2242, Los Angeles County, California",6037224200,224200,1159,637,54.96,364.00,31.41,83.00,7.16,41.00,3.54,26.00,2.24
"Census Tract 2243.10, Los Angeles County, California",6037224310,224310,830,367,44.22,373.00,44.94,34.00,4.10,19.00,2.29,37.00,4.46
"Census Tract 2243.20, Los Angeles County, California",6037224320,224320,1513,873,57.70,463.00,30.60,27.00,1.78,78.00,5.16,48.00,3.17
"Census Tract 2244.10, Los Angeles County, California",6037224410,224410,1368,768,56.14,212.00,15.50,202.00,14.77,94.00,6.87,79.00,5.77
"Census Tract 2244.20, Los Angeles County, California",6037224420,224420,926,476,51.40,219.00,23.65,32.00,3.46,148.00,15.98,51.00,5.51
"Census Tract 2246, Los Angeles County, California",6037224600,224600,1315,658,50.04,359.00,27.30,77.00,5.86,180.00,13.69,41.00,3.12
"Census Tract 2247, Los Angeles County, California",6037224700,224700,2037,510,25.04,197.00,9.67,321.00,15.76,869.00,42.66,99.00,4.86
"Census Tract 2260.01, Los Angeles County, California",6037226001,226001,1034,529,51.16,345.00,33.37,39.00,3.77,97.00,9.38,24.00,2.32
"Census Tract 2260.02, Los Angeles County, California",6037226002,226002,987,431,43.67,131.00,13.27,99.00,10.03,214.00,21.68,56.00,5.67
"Census Tract 2264.10, Los Angeles County, California",6037226410,226410,1547,803,51.91,378.00,24.43,97.00,6.27,212.00,13.70,48.00,3.10
"Census Tract 2264.20, Los Angeles County, California",6037226420,226420,2499,1397,55.90,493.00,19.73,226.00,9.04,279.00,11.16,32.00,1.28
"Census Tract 2267, Los Angeles County, California",6037226700,226700,2826,1884,66.67,654.00,23.14,142.00,5.02,120.00,4.25,26.00,0.92
"Census Tract 2270.10, Los Angeles County, California",6037227010,227010,1745,1247,71.46,229.00,13.12,114.00,6.53,38.00,2.18,117.00,6.70
"Census Tract 2270.20, Los Angeles County, California",6037227020,227020,1432,875,61.10,307.00,21.44,71.00,4.96,90.00,6.28,47.00,3.28
"Census Tract 2281, Los Angeles County, California",6037228100,228100,2154,1451,67.36,334.00,15.51,24.00,1.11,145.00,6.73,141.00,6.55
"Census Tract 2282.10, Los Angeles County, California",6037228210,228210,1648,1114,67.60,355.00,21.54,37.00,2.25,105.00,6.37,37.00,2.25
"Census Tract 2282.20, Los Angeles County, California",6037228220,228220,1638,1219,74.42,267.00,16.30,16.00,0.98,38.00,2.32,70.00,4.27
"Census Tract 2283.10, Los Angeles County, California",6037228310,228310,1892,1355,71.62,374.00,19.77,24.00,1.27,78.00,4.12,40.00,2.11
"Census Tract 2283.20, Los Angeles County, California",6037228320,228320,1319,853,64.67,345.00,26.16,12.00,0.91,67.00,5.08,24.00,1.82
"Census Tract 2284.10, Los Angeles County, California",6037228410,228410,1467,967,65.92,265.00,18.06,95.00,6.48,107.00,7.29,24.00,1.64
"Census Tract 2284.20, Los Angeles County, California",6037228420,228420,1322,857,64.83,326.00,24.66,50.00,3.78,48.00,3.63,38.00,2.87
"Census Tract 2285, Los Angeles County, California",6037228500,228500,1788,1126,62.98,422.00,23.60,51.00,2.85,122.00,6.82,67.00,3.75
"Census Tract 2286, Los Angeles County, California",6037228600,228600,2158,1367,63.35,616.00,28.54,102.00,4.73,16.00,0.74,29.00,1.34
"Census Tract 2287.10, Los Angeles County, California",6037228710,228710,1329,1062,79.91,163.00,12.26,68.00,5.12,12.00,0.90,24.00,1.81
"Census Tract 2287.20, Los Angeles County, California",6037228720,228720,1616,1203,74.44,300.00,18.56,21.00,1.30,44.00,2.72,42.00,2.60
"Census Tract 2288, Los Angeles County, California",6037228800,228800,1786,1459,81.69,199.00,11.14,12.00,0.67,92.00,5.15,24.00,1.34
"Census Tract 2289, Los Angeles County, California",6037228900,228900,676,550,81.36,66.00,9.76,0.00,0.00,58.00,8.58,2.00,0.30
"Census Tract 2291, Los Angeles County, California",6037229100,229100,2056,1497,72.81,397.00,19.31,19.00,0.92,78.00,3.79,40.00,1.95
"Census Tract 2292, Los Angeles County, California",6037229200,229200,1984,1456,73.39,261.00,13.16,56.00,2.82,62.00,3.13,149.00,7.51
"Census Tract 2293, Los Angeles County, California",6037229300,229300,2012,1341,66.65,357.00,17.74,34.00,1.69,131.00,6.51,90.00,4.47
"Census Tract 2294.10, Los Angeles County, California",6037229410,229410,1085,747,68.85,233.00,21.47,0.00,0.00,42.00,3.87,63.00,5.81
"Census Tract 2294.20, Los Angeles County, California",6037229420,229420,1782,1324,74.30,307.00,17.23,12.00,0.67,76.00,4.26,63.00,3.54
"Census Tract 2311, Los Angeles County, California",6037231100,231100,1031,499,48.40,314.00,30.46,13.00,1.26,155.00,15.03,35.00,3.39
"Census Tract 2312.10, Los Angeles County, California",6037231210,231210,1449,1057,72.95,322.00,22.22,7.00,0.48,63.00,4.35,0.00,0.00
"Census Tract 2312.20, Los Angeles County, California",6037231220,231220,1601,1037,64.77,400.00,24.98,6.00,0.37,20.00,1.25,104.00,6.50
"Census Tract 2313, Los Angeles County, California",6037231300,231300,2178,1757,80.67,278.00,12.76,21.00,0.96,31.00,1.42,78.00,3.58
"Census Tract 2314, Los Angeles County, California",6037231400,231400,2233,1745,78.15,405.00,18.14,8.00,0.36,1.00,0.04,63.00,2.82
"Census Tract 2315, Los Angeles County, California",6037231500,231500,2104,1722,81.84,250.00,11.88,0.00,0.00,30.00,1.43,81.00,3.85
"Census Tract 2316, Los Angeles County, California",6037231600,231600,2755,2177,79.02,347.00,12.60,48.00,1.74,54.00,1.96,114.00,4.14
"Census Tract 2317.10, Los Angeles County, California",6037231710,231710,1278,805,62.99,434.00,33.96,8.00,0.63,21.00,1.64,10.00,0.78
"Census Tract 2317.20, Los Angeles County, California",6037231720,231720,2084,1263,60.60,602.00,28.89,79.00,3.79,67.00,3.21,62.00,2.98
"Census Tract 2318, Los Angeles County, California",6037231800,231800,1994,1357,68.05,355.00,17.80,118.00,5.92,108.00,5.42,32.00,1.60
"Census Tract 2319, Los Angeles County, California",6037231900,231900,1902,1207,63.46,536.00,28.18,0.00,0.00,80.00,4.21,23.00,1.21
"Census Tract 2321.10, Los Angeles County, California",6037232110,232110,1071,816,76.19,194.00,18.11,26.00,2.43,20.00,1.87,15.00,1.40
"Census Tract 2321.20, Los Angeles County, California",6037232120,232120,2117,1666,78.70,275.00,12.99,38.00,1.79,37.00,1.75,77.00,3.64
"Census Tract 2322, Los Angeles County, California",6037232200,232200,1236,969,78.40,131.00,10.60,16.00,1.29,21.00,1.70,99.00,8.01
"Census Tract 2323, Los Angeles County, California",6037232300,232300,2185,1829,83.71,332.00,15.19,0.00,0.00,1.00,0.05,0.00,0.00
"Census Tract 2324, Los Angeles County, California",6037232400,232400,2835,2318,81.76,429.00,15.13,19.00,0.67,10.00,0.35,43.00,1.52
"Census Tract 2325, Los Angeles County, California",6037232500,232500,1722,1414,82.11,150.00,8.71,49.00,2.85,68.00,3.95,41.00,2.38
"Census Tract 2326, Los Angeles County, California",6037232600,232600,2122,1827,86.10,213.00,10.04,0.00,0.00,29.00,1.37,53.00,2.50
"Census Tract 2327, Los Angeles County, California",6037232700,232700,2181,1745,80.01,295.00,13.53,0.00,0.00,15.00,0.69,96.00,4.40
"Census Tract 2328, Los Angeles County, California",6037232800,232800,1532,1113,72.65,335.00,21.87,5.00,0.33,8.00,0.52,56.00,3.66
"Census Tract 2340, Los Angeles County, California",6037234000,234000,2435,1865,76.59,222.00,9.12,0.00,0.00,90.00,3.70,189.00,7.76
"Census Tract 2342, Los Angeles County, California",6037234200,234200,1045,967,92.54,38.00,3.64,0.00,0.00,0.00,0.00,31.00,2.97
"Census Tract 2343, Los Angeles County, California",6037234300,234300,2011,1703,84.68,70.00,3.48,0.00,0.00,31.00,1.54,207.00,10.29
"Census Tract 2345.01, Los Angeles County, California",6037234501,234501,927,750,80.91,84.00,9.06,15.00,1.62,35.00,3.78,43.00,4.64
"Census Tract 2345.02, Los Angeles County, California",6037234502,234502,947,828,87.43,82.00,8.66,0.00,0.00,24.00,2.53,13.00,1.37
"Census Tract 2346, Los Angeles County, California",6037234600,234600,2146,1648,76.79,245.00,11.42,0.00,0.00,79.00,3.68,174.00,8.11
"Census Tract 2347, Los Angeles County, California",6037234700,234700,1449,1322,91.24,86.00,5.94,0.00,0.00,0.00,0.00,41.00,2.83
"Census Tract 2348, Los Angeles County, California",6037234800,234800,1463,1423,97.27,30.00,2.05,4.00,0.27,5.00,0.34,1.00,0.07
"Census Tract 2349.01, Los Angeles County, California",6037234901,234901,861,669,77.70,86.00,9.99,0.00,0.00,74.00,8.59,32.00,3.72
"Census Tract 2349.02, Los Angeles County, California",6037234902,234902,1483,1185,79.91,178.00,12.00,0.00,0.00,25.00,1.69,40.00,2.70
"Census Tract 2351, Los Angeles County, California",6037235100,235100,2197,1953,88.89,114.00,5.19,0.00,0.00,25.00,1.14,70.00,3.19
"Census Tract 2352.01, Los Angeles County, California",6037235201,235201,1083,867,80.06,151.00,13.94,0.00,0.00,15.00,1.39,34.00,3.14
"Census Tract 2352.02, Los Angeles County, California",6037235202,235202,1839,1431,77.81,213.00,11.58,0.00,0.00,0.00,0.00,71.00,3.86
"Census Tract 2360, Los Angeles County, California",6037236000,236000,2502,2208,88.25,95.00,3.80,0.00,0.00,62.00,2.48,103.00,4.12
"Census Tract 2361, Los Angeles County, California",6037236100,236100,2244,1841,82.04,307.00,13.68,0.00,0.00,1.00,0.04,71.00,3.16
"Census Tract 2362.02, Los Angeles County, California",6037236202,236202,2437,1770,72.63,537.00,22.04,16.00,0.66,42.00,1.72,72.00,2.95
"Census Tract 2362.03, Los Angeles County, California",6037236203,236203,1636,1116,68.22,452.00,27.63,14.00,0.86,34.00,2.08,0.00,0.00
"Census Tract 2362.04, Los Angeles County, California",6037236204,236204,1263,816,64.61,332.00,26.29,17.00,1.35,35.00,2.77,45.00,3.56
"Census Tract 2364, Los Angeles County, California",6037236400,236400,1803,1566,86.86,82.00,4.55,0.00,0.00,0.00,0.00,145.00,8.04
"Census Tract 2371.01, Los Angeles County, California",6037237101,237101,1348,960,71.22,234.00,17.36,37.00,2.74,60.00,4.45,42.00,3.12
"Census Tract 2371.02, Los Angeles County, California",6037237102,237102,1213,848,69.91,191.00,15.75,62.00,5.11,37.00,3.05,63.00,5.19
"Census Tract 2372.01, Los Angeles County, California",6037237201,237201,1531,1353,88.37,134.00,8.75,7.00,0.46,22.00,1.44,10.00,0.65
"Census Tract 2372.02, Los Angeles County, California",6037237202,237202,2000,1651,82.55,110.00,5.50,11.00,0.55,61.00,3.05,101.00,5.05
"Census Tract 2373, Los Angeles County, California",6037237300,237300,2172,1780,81.95,195.00,8.98,0.00,0.00,61.00,2.81,110.00,5.06
"Census Tract 2374.01, Los Angeles County, California",6037237401,237401,1363,1159,85.03,176.00,12.91,0.00,0.00,7.00,0.51,14.00,1.03
"Census Tract 2374.02, Los Angeles County, California",6037237402,237402,1299,1087,83.68,67.00,5.16,0.00,0.00,77.00,5.93,62.00,4.77
"Census Tract 2375, Los Angeles County, California",6037237500,237500,979,735,75.08,158.00,16.14,11.00,1.12,19.00,1.94,51.00,5.21
"Census Tract 2376, Los Angeles County, California",6037237600,237600,1556,1221,78.47,287.00,18.44,0.00,0.00,19.00,1.22,29.00,1.86
"Census Tract 2377.10, Los Angeles County, California",6037237710,237710,1441,1065,73.91,304.00,21.10,0.00,0.00,29.00,2.01,43.00,2.98
"Census Tract 2377.20, Los Angeles County, California",6037237720,237720,1038,764,73.60,264.00,25.43,0.00,0.00,10.00,0.96,0.00,0.00
"Census Tract 2378, Los Angeles County, California",6037237800,237800,1378,1119,81.20,186.00,13.50,0.00,0.00,0.00,0.00,47.00,3.41
"Census Tract 2379, Los Angeles County, California",6037237900,237900,1275,1179,92.47,39.00,3.06,0.00,0.00,0.00,0.00,57.00,4.47
"Census Tract 2380, Los Angeles County, California",6037238000,238000,2327,2096,90.07,193.00,8.29,0.00,0.00,0.00,0.00,20.00,0.86
"Census Tract 2381, Los Angeles County, California",6037238100,238100,1873,1663,88.79,165.00,8.81,0.00,0.00,0.00,0.00,38.00,2.03
"Census Tract 2382, Los Angeles County, California",6037238200,238200,1961,1688,86.08,127.00,6.48,0.00,0.00,42.00,2.14,34.00,1.73
"Census Tract 2383.10, Los Angeles County, California",6037238310,238310,1552,1306,84.15,159.00,10.24,48.00,3.09,16.00,1.03,23.00,1.48
"Census Tract 2383.20, Los Angeles County, California",6037238320,238320,1180,918,77.80,146.00,12.37,0.00,0.00,12.00,1.02,69.00,5.85
"Census Tract 2384, Los Angeles County, California",6037238400,238400,1903,1788,93.96,55.00,2.89,0.00,0.00,8.00,0.42,41.00,2.15
"Census Tract 2392.01, Los Angeles County, California",6037239201,239201,1433,993,69.30,215.00,15.00,41.00,2.86,129.00,9.00,36.00,2.51
"Census Tract 2392.02, Los Angeles County, California",6037239202,239202,1834,1403,76.50,289.00,15.76,0.00,0.00,32.00,1.74,69.00,3.76
"Census Tract 2393.10, Los Angeles County, California",6037239310,239310,1669,1107,66.33,266.00,15.94,83.00,4.97,134.00,8.03,45.00,2.70
"Census Tract 2393.20, Los Angeles County, California",6037239320,239320,1436,1027,71.52,282.00,19.64,22.00,1.53,50.00,3.48,39.00,2.72
"Census Tract 2393.30, Los Angeles County, California",6037239330,239330,1200,905,75.42,242.00,20.17,10.00,0.83,4.00,0.33,20.00,1.67
"Census Tract 2395.01, Los Angeles County, California",6037239501,239501,1361,1009,74.14,246.00,18.07,9.00,0.66,9.00,0.66,59.00,4.34
"Census Tract 2395.02, Los Angeles County, California",6037239502,239502,1204,970,80.56,211.00,17.52,5.00,0.42,0.00,0.00,18.00,1.50
"Census Tract 2396.01, Los Angeles County, California",6037239601,239601,1247,986,79.07,182.00,14.60,25.00,2.00,13.00,1.04,28.00,2.25
"Census Tract 2396.02, Los Angeles County, California",6037239602,239602,1164,833,71.56,227.00,19.50,0.00,0.00,62.00,5.33,42.00,3.61
"Census Tract 2397.01, Los Angeles County, California",6037239701,239701,1780,1307,73.43,263.00,14.78,0.00,0.00,29.00,1.63,116.00,6.52
"Census Tract 2397.02, Los Angeles County, California",6037239702,239702,1344,1103,82.07,214.00,15.92,0.00,0.00,15.00,1.12,12.00,0.89
"Census Tract 2398.01, Los Angeles County, California",6037239801,239801,1281,1048,81.81,157.00,12.26,0.00,0.00,42.00,3.28,34.00,2.65
"Census Tract 2398.02, Los Angeles County, California",6037239802,239802,1952,1459,74.74,330.00,16.91,0.00,0.00,113.00,5.79,28.00,1.43
"Census Tract 2400.10, Los Angeles County, California",6037240010,240010,1228,993,80.86,137.00,11.16,0.00,0.00,39.00,3.18,59.00,4.80
"Census Tract 2400.20, Los Angeles County, California",6037240020,240020,1918,1499,78.15,296.00,15.43,0.00,0.00,35.00,1.82,40.00,2.09
"Census Tract 2402, Los Angeles County, California",6037240200,240200,1757,1532,87.19,149.00,8.48,0.00,0.00,26.00,1.48,29.00,1.65
"Census Tract 2403, Los Angeles County, California",6037240300,240300,1885,1433,76.02,354.00,18.78,0.00,0.00,42.00,2.23,43.00,2.28
"Census Tract 2404.01, Los Angeles County, California",6037240401,240401,1958,1591,81.26,256.00,13.07,0.00,0.00,0.00,0.00,101.00,5.16
"Census Tract 2404.02, Los Angeles County, California",6037240402,240402,1494,1312,87.82,158.00,10.58,0.00,0.00,0.00,0.00,24.00,1.61
"Census Tract 2405, Los Angeles County, California",6037240500,240500,2266,2002,88.35,177.00,7.81,0.00,0.00,0.00,0.00,87.00,3.84
"Census Tract 2406, Los Angeles County, California",6037240600,240600,2089,1694,81.09,284.00,13.60,14.00,0.67,22.00,1.05,47.00,2.25
"Census Tract 2407, Los Angeles County, California",6037240700,240700,2377,1886,79.34,326.00,13.71,28.00,1.18,20.00,0.84,77.00,3.24
"Census Tract 2408, Los Angeles County, California",6037240800,240800,1741,1410,80.99,233.00,13.38,0.00,0.00,98.00,5.63,0.00,0.00
"Census Tract 2409, Los Angeles County, California",6037240900,240900,2039,1872,91.81,108.00,5.30,0.00,0.00,2.00,0.10,57.00,2.80
"Census Tract 2410.01, Los Angeles County, California",6037241001,241001,1535,1353,88.14,131.00,8.53,17.00,1.11,11.00,0.72,23.00,1.50
"Census Tract 2410.02, Los Angeles County, California",6037241002,241002,1256,1074,85.51,117.00,9.32,0.00,0.00,13.00,1.04,11.00,0.88
"Census Tract 2411.10, Los Angeles County, California",6037241110,241110,1059,835,78.85,158.00,14.92,0.00,0.00,17.00,1.61,28.00,2.64
"Census Tract 2411.20, Los Angeles County, California",6037241120,241120,1743,1395,80.03,266.00,15.26,0.00,0.00,48.00,2.75,0.00,0.00
"Census Tract 2412.01, Los Angeles County, California",6037241201,241201,1101,929,84.38,54.00,4.90,0.00,0.00,16.00,1.45,102.00,9.26
